	~85	85~90	90~95	95~100	100~105	105~110	110~115	115~120	120~	Sum(%)
~230	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06
230~235	0.06	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.11
235~240	0.00	0.17	0.28	0.17	0.06	0.00	0.00	0.00	0.00	0.68
240~245	0.00	0.11	0.73	0.79	0.06	0.00	0.00	0.00	0.00	1.69
245~250	0.00	0.17	0.79	1.35	0.39	0.00	0.00	0.00	0.00	2.71
250~255	0.00	0.23	1.86	2.76	1.58	0.23	0.06	0.00	0.00	6.71
255~260	0.00	0.17	2.14	3.95	2.82	0.51	0.00	0.00	0.00	9.58
260~265	0.00	0.17	1.75	6.37	4.06	1.13	0.28	0.00	0.00	13.75
265~270	0.00	0.06	1.13	5.52	6.60	1.47	0.45	0.06	0.00	15.28
270~275	0.00	0.11	0.79	4.68	6.14	2.71	0.39	0.00	0.00	14.83
275~280	0.00	0.00	0.28	2.65	5.92	2.59	0.73	0.06	0.00	12.23
280~285	0.00	0.00	0.23	1.47	3.49	3.61	0.39	0.00	0.00	9.19
285~290	0.00	0.00	0.00	0.51	2.54	2.48	0.73	0.06	0.00	6.31
290~295	0.00	0.00	0.00	0.28	0.73	1.58	0.34	0.28	0.00	3.21
295~300	0.00	0.00	0.00	0.11	0.68	0.56	0.45	0.17	0.00	1.97
300~305	0.00	0.00	0.00	0.00	0.28	0.28	0.34	0.06	0.11	1.07
305~310	0.00	0.00	0.00	0.00	0.00	0.06	0.28	0.06	0.00	0.39
310~	0.00	0.00	0.00	0.00	0.00	0.06	0.11	0.06	0.00	0.23
Sum(%)	0.06	1.24	10.03	30.61	35.34	17.25	4.57	0.79	0.11	100.00
